comp,model,failures,exposure,raw_rate,posterior_mean,p10,p90
comp1,model1,30,27.375557967344157,1.0958680745717218,1.0973702942469834,0.8532295701643147,1.3596297753237747
comp1,model2,29,32.6714492643455,0.8876251483477298,0.8949558463038432,0.6957337045535024,1.11077163906851
comp1,model3,64,63.06527122731655,1.0148216086998858,1.0167165492552859,0.8573734921555984,1.179717679934903
comp1,model4,60,59.88775801276277,1.001874205863798,1.0040778328969044,0.8424447126579608,1.170304609695616
comp2,model1,45,39.104686576626264,1.150757209415853,1.1504618158405422,0.9415761844169301,1.3745003032711376
comp2,model2,40,42.75997778251313,0.9354541810907621,0.9400177434877753,0.7609005095552049,1.1335304610436259
comp2,model3,88,86.45038351593314,1.0179249231876601,1.019276394066396,0.8818248599282592,1.1590966647250003
comp2,model4,83,87.68511346502319,0.9465688840456135,0.9486941270933005,0.8199050921323776,1.0844570850965325
comp3,model1,65,19.557674121296273,3.3235035821167385,3.2195346058202547,2.7197813424280834,3.748568822968843
comp3,model2,63,24.00844833942965,2.624076288034558,2.5658866070782143,2.160434792208994,2.9814252481962904
comp3,model3,0,43.05837322907652,0.0,0.02540745751491249,0.0019790917185446557,0.05935666845912281
comp3,model4,0,41.37546883368641,0.0,0.02641361441266449,0.0021571491196436133,0.06197837391018403
comp4,model1,41,24.775960398474375,1.6548298972307305,1.6352282946998518,1.3216264518225684,1.9648097662914086
comp4,model2,33,27.40502517825723,1.204158718532459,1.2019190694988886,0.9479973216679668,1.4809778767223796
comp4,model3,64,62.596820135935516,1.022416152466169,1.024207567537775,0.8650490559266939,1.1892751860618784
comp4,model4,38,61.22214234084608,0.6206904650353476,0.6288767209609938,0.5013547170021588,0.7613297925452388
