comp,covariate,HR,HR_lo,HR_hi,p_value,significant
comp1,age,0.9839748399114787,0.9384036793623197,1.0317590466362543,0.5043154695234267,False
comp1,volt_z,0.9478049150366307,0.7289853906282562,1.2323074899942643,0.6889629970938049,False
comp1,rotate_z,1.1060281186093084,0.8537000126981776,1.4329368407622816,0.4456094451368996,False
comp1,pressure_z,1.2768216521344435,0.9813361274375347,1.6612794391013617,0.06880859813475854,False
comp1,vibration_z,1.15219553881531,0.8731206622822659,1.5204709005463042,0.31675962449663964,False
comp1,errors_z,0.8681549586418095,0.6821126057988927,1.1049393103234533,0.25055767862891754,False
comp1,model_model2,0.8430499094343574,0.4014598593708668,1.7703716404202348,0.6519724225328762,False
comp1,model_model3,1.1279387646783583,0.6063965271295666,2.0980427821485605,0.7037890144531214,False
comp1,model_model4,1.4603957487654116,0.7868167955359705,2.710612883599261,0.23008143847956805,False
comp2,age,0.9925421175682276,0.9577229545192467,1.0286271729190593,0.6811797417821432,False
comp2,volt_z,0.9521371377928346,0.7820208753148736,1.1592595003289536,0.6252731269615206,False
comp2,rotate_z,0.9777811056346554,0.8079590937112224,1.1832973946052756,0.817435212322819,False
comp2,pressure_z,1.0016918968489776,0.8077211469561996,1.2422438857692972,0.9877177696241739,False
comp2,vibration_z,0.9959302244478382,0.8006432059470192,1.238850220174549,0.9707874757920985,False
comp2,errors_z,0.9419042256733293,0.7776521637957361,1.1408488417378189,0.54042351674586,False
comp2,model_model2,0.9149628473212685,0.5219515917324667,1.603897804391291,0.7563172512809111,False
comp2,model_model3,0.9725684169113976,0.5869041637608123,1.6116589112477844,0.9140465879607528,False
comp2,model_model4,0.8117968459894368,0.4847243214809674,1.359564787557856,0.428075648054727,False
comp3,age,1.0140117497678176,0.9520337954473348,1.080024504995706,0.6654418933829372,False
comp3,volt_z,0.8984535518186113,0.6251146641148149,1.2913131479942632,0.5628736972871698,False
comp3,rotate_z,0.8121139597494894,0.5852489882098589,1.126920502053907,0.2130969424999564,False
comp3,pressure_z,0.7995143112973025,0.5339050657296244,1.1972599156661867,0.2774443892051556,False
comp3,vibration_z,0.9986489229113397,0.7258572236189323,1.3739612127295588,0.9933732871853165,False
comp3,errors_z,1.0552354933427086,0.7363706154405222,1.5121759655551743,0.7696109259419769,False
comp3,model_model2,0.6100661598731096,0.32303572289109206,1.152134866359035,0.12765635926422064,False
comp4,age,1.139138629918536,1.0792395421082859,1.2023621888776945,2.2792637078899924e-06,True
comp4,volt_z,0.9707392066259171,0.7398774334444587,1.2736360979327723,0.8302909187540639,False
comp4,rotate_z,1.0531014107127854,0.7932765757496733,1.3980276427514513,0.7204013358420847,False
comp4,pressure_z,1.0060739944167207,0.7656605892062995,1.3219759466670067,0.965331652372456,False
comp4,vibration_z,1.0785719134416982,0.8262877739143965,1.407884043780861,0.577951061633711,False
comp4,errors_z,1.204392748094546,0.9225040018955256,1.572417993506992,0.17161392888737884,False
comp4,model_model2,0.9494327624194677,0.47513470465166374,1.8971937042913394,0.8831998807640531,False
comp4,model_model3,0.6823474808377156,0.3664728919772986,1.27048437905857,0.22815074418132306,False
comp4,model_model4,0.7763195236992595,0.4111439451837325,1.4658418540186025,0.4349639251513403,False
